,Title,Price (DKK),Year,KM driven,Motor (Litres),Manual/Automatic gear,Horsepower,Car Manufacturer
1196,"Citroën C1 1,2",62500,2017,41000,1.2,Manuelt gear,82,Citroën
1197,"Toyota Aygo 1,0 VVT-I X-Cite 69HK 5d",84900,2017,32000,1.0,Manuelt gear,69,Toyota
1198,"Nissan Qashqai 1,3 140 Tekna+",210000,2019,28000,1.3,Manuelt gear,140,Nissan
1199,Opel Astra 6 personbil,9000,1998,118700,1.6,Manuelt gear,75,Opel
1200,"Peugeot 107 1,0",39500,2014,98800,1.0,Manuelt gear,68,Peugeot
1201,"Peugeot 208 1,0",47900,2013,107000,1.0,Manuelt gear,68,Peugeot
1202,"VW Golf VII 1,2",110000,2013,129000,1.2,Manuelt gear,85,VW
1203,"Seat Mii 1,0 MPI Reference Start/Stop 60HK 3d",39900,2014,195000,1.0,Manuelt gear,60,Seat
1204,"Suzuki Baleno 1,2 Dualjet 16V Active 90HK 5d",99900,2017,39467,1.2,Manuelt gear,90,Suzuki
1205,"Skoda Octavia 1,2 TSI Elegance 105HK 5d 6g",109900,2013,83000,1.2,Manuelt gear,105,Skoda
1206,"Skoda Octavia 1,4 TSI Ambiente 122HK 5d 6g",47900,2009,180000,1.4,Manuelt gear,122,Skoda
1207,"VW Golf Cabriolet III 1,8 Bon Jovi",34999,1996,251000,1.8,Manuelt gear,90,VW
1208,"Opel Astra 0 Turbo Enjoy 105HK 5d 1,0 Turbo Enjoy 105HK 5d",79900,2016,151000,1.0,Manuelt gear,105,Opel
1209,"VW Polo 1,0 BlueMotion 95HK 5d 1,0 BlueMotion 95HK 5d",99900,2017,118500,1.0,Manuelt gear,95,VW
1210,"Mazda 6 2,0 Skyactiv-G Vision 165HK 6g 2,0 Skyactiv-G Vision 165HK 6g",94700,2013,185000,2.0,Manuelt gear,165,Mazda
1211,"Mazda 6 2,0 Skyactiv-G Vision 165HK Stc 6g 2,0 Skyactiv-G Vision 165HK Stc 6g",184700,2018,74000,2.0,Manuelt gear,165,Mazda
1212,"Peugeot 208 1,2 VTi Strike 82HK 5d 1,2 VTi Strike 82HK 5d",84700,2018,131000,1.2,Manuelt gear,82,Peugeot
1213,"Audi TT 1,8 TFSI 180HK 2d 6g 1,8 TFSI 180HK 2d 6g",299700,2016,111000,1.8,Manuelt gear,180,Audi
1214,"Ford Focus 1,0 SCTi 125 Titanium stc",149000,2018,99000,1.0,Manuelt gear,125,Ford
1215,"Ford C-MAX 1,0 EcoBoost Titanium Fun 125HK 6g",149900,2017,81800,1.0,Manuelt gear,125,Ford
1216,"Skoda Kamiq 1,0 TSi 110 Life DSG",259000,2022,20000,1.0,Automatgear,110,Skoda
1217,Chevrolet Cruze 1.8 Stc,56500,2013,97000,1.8,Manuelt gear,141,Chevrolet
1218,"Skoda Fabia 1,0 TSI Ambition 95HK 5d",124900,2019,78000,1.0,Manuelt gear,95,Skoda
1219,"Ford Fiesta 1,0 EcoBoost Titanium Fun Start/Stop 100HK 5d",109900,2017,85000,1.0,Manuelt gear,100,Ford
1220,"VW Touran 1,5 TSI EVO ACT Comfortline Plus DSG 150HK 7g Aut. 1,5 TSI EVO ACT Comfortline Plus DSG 150HK 7g A",354700,2021,10000,1.5,Automatgear,150,VW
1221,"Ford Fiesta 1,0 EcoBoost Trend 100HK 5d 6g A",149999,2019,43000,1.0,Automatgear,100,Ford
1222,"Suzuki SX4 S-Cross 1,4 Boosterjet Active Plus 140HK 5d 6g 1,4 Boosterjet Active Plus 140HK 5d 6g",144900,2016,80000,1.4,Manuelt gear,140,Suzuki
1223,"Peugeot 5008 1,2 PureTech Allure 130HK 5d 6g",284900,2019,57000,1.2,Manuelt gear,130,Peugeot
1224,"Ford Focus 1,6 Titanium 105HK Stc 1,6 Titanium 105HK Stc",54900,2011,187000,1.6,Manuelt gear,105,Ford
1225,"Citroën C3 1,2 PureTech Cool Comfort 82HK 5d 1,2 PureTech Cool Comfort 82HK 5d",79700,2016,59000,1.2,Manuelt gear,82,Citroën
1226,"Citroën C1 1,2 PureTech Sport 82HK 5d 1,2 PureTech Sport 82HK 5d",49700,2016,123000,1.2,Manuelt gear,82,Citroën
1227,Citroën C1 1.0 68 HK Attraction,27000,2013,165000,1.0,Manuelt gear,68,Citroën
1228,"Mazda CX-5 2,0 Skyactiv-G Optimum Cruise Pack 165HK 5d 6g 2,0 Skyactiv-G Optimum Cruise Pack 165HK 5d 6g",189700,2017,153000,2.0,Manuelt gear,165,Mazda
1229,"Audi Q2 1,4 TFSI Sport S Tronic 150HK 5d 7g A",259900,2018,50378,1.4,Automatgear,150,Audi
1230,"Kia ceed 1,0 T-GDi Prestige SW",235000,2023,11000,1.0,Manuelt gear,100,Kia
1231,Kia Rio 1.0 100 HK Premium,108100,2018,145000,1.0,Manuelt gear,100,Kia
1232,Citroën C3 1.2 PureTech 110 hk 5D,118600,2018,50000,1.2,Manuelt gear,110,Citroën
1233,"Chevrolet Spark 1,0 1.0 5D",10000,2010,210000,1.0,Manuelt gear,68,Chevrolet
1234,"Opel Crossland 1,2 T Sport 110HK 5d 6g A+",185000,2021,40000,1.2,Manuelt gear,110,Opel
1235,"Kia pro_ceed GT Shooting Brake 1,6 T-GDI DCT 204HK Stc 7g A",264900,2019,66300,1.6,Automatgear,204,Kia
1236,"VW up! 1,0",54900,2013,91000,1.0,Manuelt gear,60,VW
1237,"VW Fox 1,4 75HK 3d",16800,2005,205000,1.4,Manuelt gear,75,VW
1238,"Mercedes A200 1,3 AMG Line",399900,2022,17000,1.3,Automatgear,163,Mercedes
1239,"Mercedes A220 2,0 AMG Line aut. 4Matic",389900,2020,44000,2.0,Automatgear,190,Mercedes
1240,"Mercedes A200 1,3 AMG Line",419900,2022,10000,1.3,Automatgear,163,Mercedes
1241,"Mercedes A200 1,3 Progressive Line",324900,2019,30000,1.3,Automatgear,163,Mercedes
1242,"Mercedes A250 2,0 AMG Line",399900,2019,67000,2.0,Automatgear,224,Mercedes
1243,"Mercedes C200 1,5 AMG Line",584900,2022,9000,1.5,Automatgear,204,Mercedes
1244,"Mercedes C200 1,5 AMG Line",584900,2022,17000,1.5,Automatgear,204,Mercedes
1245,"Mercedes GLB200 1,3 Progressive Line",509900,2022,27000,1.3,Automatgear,163,Mercedes
1246,"Mercedes GLB200 1,3 AMG Line",519900,2022,31000,1.3,Automatgear,163,Mercedes
1247,"Mercedes A200 1,3 AMG Line",354900,2020,56000,1.3,Automatgear,163,Mercedes
1248,"Mercedes GLB200 1,3 Progressive Line",509900,2022,23000,1.3,Automatgear,163,Mercedes
1249,"Mercedes GLB200 1,3 Progressive Line",514900,2022,22000,1.3,Automatgear,163,Mercedes
1250,"Mercedes CLA200 Shooting Brake 1,3 AMG Line",484900,2022,8000,1.3,Automatgear,163,Mercedes
1251,"Skoda Octavia 1,2 TSi 110 Style DSG",139900,2015,147000,1.2,Automatgear,110,Skoda
1252,"Suzuki Swift 1,2 Dualjet Club",124800,2018,35000,1.2,Manuelt gear,90,Suzuki
1253,"Skoda Octavia 1,4 TSi 150 Style Combi DSG",179900,2016,149500,1.4,Automatgear,150,Skoda
1254,"VW Polo 1,0 TSi 95 BlueMotion",119800,2016,92000,1.0,Manuelt gear,95,VW
1255,"Nissan Qashqai 1,2 Dig-T 115 Tekn",179900,2018,108000,1.2,Manuelt gear,115,Nissan
1256,"VW Passat 1,4 TSi 150 Highline Premium DSG",239900,2018,166000,1.4,Automatgear,150,VW
1257,"Volvo V90 2,0 T5 254 Momentum",339900,2016,129000,2.0,Automatgear,254,Volvo
1258,"Nissan Qashqai 1,2 Dig-T 115 N-Connec",179900,2018,104000,1.2,Manuelt gear,115,Nissan
1259,"Kia Picanto 1,0 MPi Edition",99700,2019,56000,1.0,Manuelt gear,67,Kia
1260,"Nissan Qashqai 1,2 Dig-T 115 Acenta X-tr",199900,2018,91000,1.2,Automatgear,115,Nissan
1261,"Mazda CX-3 2,0 SkyActiv-G 120 Optimum",179900,2018,101000,2.0,Automatgear,120,Mazda
1262,"VW Passat 1,4 TSi 150 Comfortline Varian",174900,2015,123000,1.4,Manuelt gear,150,VW
1263,"Peugeot 208 1,2 PureTech 75 Active+",154900,2020,22000,1.2,Manuelt gear,75,Peugeot
1264,Skoda Karoq Style 1.5 TSI DSG,404900,2022,13500,1.5,Automatgear,150,Skoda
1265,"Skoda Scala 1,0 TSI 110",229900,2022,11000,1.0,Manuelt gear,110,Skoda
1266,BMW X1 25e aut M-Spor,359900,2022,17000,1.5,Automatgear,220,BMW
1267,"VW Polo Life 1,0 TSI 95HK DSG7",256900,2023,8000,1.0,Automatgear,95,VW
1268,"Skoda Superb 1,4 TSi iV Plus Combi DSGSpørgsmål? Få hurtigt svar",399900,2022,8500,1.4,Automatgear,218,Skoda
1269,"Skoda Superb 1,4 TSI 218HK Plug-in Sport Combi",429900,2022,17000,1.4,Automatgear,218,Skoda
1270,DS Automobiles DS4,384900,2022,18800,1.6,Automatgear,225,DS
1271,DS Automobiles DS4,394900,2022,5500,1.6,Automatgear,225,DS
1272,BMW 530 e Sedan aut M-Spor,534900,2022,33100,2.0,Automatgear,292,BMW
1273,"VW Arteon R-Line 2,0 TSI 190 HK DSG7",559900,2022,5700,2.0,Automatgear,190,VW
1274,Volvo V60 T6 Aut. Inscription,454900,2021,22000,2.0,Automatgear,340,Volvo
1275,Nissan Qashqai mHEV N-Connecta X-tr,344900,2022,11000,1.3,Automatgear,158,Nissan
1276,Seat Leon ST TSi 115 Style,149900,2018,130000,1.0,Manuelt gear,115,Seat
1277,Suzuki Ignis Dualjet Adventure,134900,2018,40000,1.2,Manuelt gear,90,Suzuki
1278,Opel Zafira Tourer T 140 Enjoy 7prs,194900,2018,120000,1.4,Manuelt gear,140,Opel
1279,Peugeot 208 PureTech 100 Strike,164900,2020,40000,1.2,Manuelt gear,100,Peugeot
1280,Mazda 3 SkyActiv-G 122 Sky,194900,2019,77000,2.0,Manuelt gear,122,Mazda
1281,VW T-Cross - TSi 150 Style DSG,289900,2021,61000,1.5,Automatgear,150,VW
1282,Skoda Karoq TSi 150 Style DSG,349900,2021,77000,1.5,Automatgear,150,Skoda
1283,Renault Captur TCe 90 Dynamique,109900,2014,92000,0.9,Manuelt gear,90,Renault
1284,Ford Focus EcoBoost ST-Line stc,253900,2019,79000,1.5,Automatgear,150,Ford
1285,Skoda Citigo MPi 60 Active,84900,2017,78000,1.0,Manuelt gear,60,Skoda
1286,Audi Q3 TFSi 150 S-tr,205900,2014,136000,1.4,Automatgear,150,Audi
1287,VW T-Cross - TSi 95 Life,239900,2021,41000,1.0,Manuelt gear,95,VW
1288,Renault Clio IV TCe 90 Zen Sport Tourer,133900,2019,66000,0.9,Manuelt gear,90,Renault
1289,Peugeot 208 PureTech 75 Active Pack,157900,2021,27000,1.2,Manuelt gear,75,Peugeot
1290,Skoda Superb TSi 150 Style DSG,259900,2018,111000,1.4,Automatgear,150,Skoda
1291,Mercedes C300 AMG Line stc,449900,2018,84000,2.0,Automatgear,245,Mercedes
1292,Mercedes A250 e AMG Line,434900,2022,8000,1.3,Automatgear,218,Mercedes
1293,Mercedes GLB200 AMG Line,534900,2022,12000,1.3,Automatgear,163,Mercedes
1294,Mercedes A200 AMG Line,404900,2021,9000,1.3,Automatgear,163,Mercedes
1295,Mercedes E300 Avantgarde stc,589900,2022,5000,2.0,Automatgear,320,Mercedes
1296,Mercedes E300 AMG Line stc,619900,2022,17000,2.0,Automatgear,320,Mercedes
1297,Mercedes A200 Progressive Line,359900,2022,43000,1.3,Automatgear,163,Mercedes
1298,Mercedes GLC300 AMG Line aut. 4Matic,699900,2020,59000,2.0,Automatgear,258,Mercedes
1299,Mercedes A250 e AMG Line,439900,2022,6000,1.3,Automatgear,218,Mercedes
1300,Mercedes A200 AMG Line,359900,2020,63000,1.3,Automatgear,163,Mercedes
1301,Mercedes GLA200 AMG Line,499900,2021,30000,1.3,Automatgear,163,Mercedes
1302,Mercedes A200 AMG Line,409900,2022,22000,1.3,Automatgear,163,Mercedes
1303,Mercedes GLB200 AMG Line,524900,2022,15000,1.3,Automatgear,163,Mercedes
1304,Mercedes GLA200 AMG Line,509900,2022,17000,1.3,Automatgear,163,Mercedes
1305,Mercedes A250 e AMG Line,404900,2021,31000,1.3,Automatgear,218,Mercedes
1306,Mercedes A200 AMG Line,409900,2022,10000,1.3,Automatgear,163,Mercedes
1307,Mercedes CLA200 Shooting Brake AMG Line,434900,2020,42000,1.3,Automatgear,163,Mercedes
1308,Mercedes A250 e AMG Line,439900,2022,8000,1.3,Automatgear,218,Mercedes
1309,Mercedes A250 e AMG Line,399900,2021,27000,1.3,Automatgear,218,Mercedes
1310,Mercedes C300 AMG Line stc,479900,2019,87000,2.0,Automatgear,258,Mercedes
1311,Mercedes A200 AMG Line,369900,2021,32000,1.3,Automatgear,163,Mercedes
1312,Mercedes E300 Avantgarde stc,549900,2022,27000,2.0,Automatgear,320,Mercedes
1313,Mercedes A200 AMG Line,424900,2022,10000,1.3,Automatgear,163,Mercedes
1314,Mercedes A200 AMG Line,419900,2022,10000,1.3,Automatgear,163,Mercedes
1315,"Suzuki SX4 S-Cross 1,4 Boosterjet Active 140HK 5d 6g",189500,2018,32500,1.4,Manuelt gear,140,Suzuki
1316,"Opel Corsa Corsa159.900 kr. 1,2 PureTech Elegance 75HK 5d",139900,2020,35000,1.2,Manuelt gear,75,Opel
1317,"Toyota Verso 7 pers. 1,6 VVT-I T2 Premium 132HK 6g C",189900,2017,53000,1.6,Manuelt gear,132,Toyota
1318,"Opel Crossland X 1,2 T Excite Start/Stop 110HK 5d 6g",169900,2019,52000,1.2,Manuelt gear,110,Opel
1319,Mini Cooper 15 Essential Steptronic 136HK 3d 7g A,279900,2021,17000,1.5,Automatgear,136,Mini
1320,"Ford Kuga 199.900 kr. 1,5 EcoBoost ST-Line Attack 150HK 5d 6g",194900,2017,114000,1.5,Manuelt gear,150,Ford
1321,VW Golf VII,239900,2020,51000,1.5,Manuelt gear,150,VW
1322,"Seat Leon 219.900 kr. 1,5 TSI FR DSG 150HK 5d 7g A",216500,2018,78000,1.5,Automatgear,150,Seat
1323,"VW Touran 174.900 kr. 1,4 TSI Comfortline 140HK 6g",159900,2013,116000,1.4,Manuelt gear,140,VW
1324,"BMW 220 Active Tourer i 284.900 kr. 2,0 i Advantage Steptronic 192HK Stc 8g A",279900,2018,96000,2.0,Automatgear,192,BMW
1325,"VW T-Roc 249.900 kr. 1,0 TSI Style Plus 115HK 5d 6g",244900,2020,34000,1.0,Manuelt gear,115,VW
1326,"VW Passat 324.900 kr. Variant 1,5 TSI EVO ACT Highline DSG 150HK Stc 7g A",314900,2019,63000,1.5,Automatgear,150,VW
1327,"Honda CR-V 189.900 kr. 2,0 i VTEC Elegance Navi 155HK 5d 6g",184900,2016,143000,2.0,Manuelt gear,155,Honda
1328,"VW T-Cross - 234.900 kr. 1,0 TSI Life DSG 115HK 5d 7g A",224900,2019,95000,1.0,Automatgear,115,VW
1329,"Skoda Kodiaq 384.900 kr. 1,5 TSI ACT Style DSG 150HK 5d 7g A",379900,2019,77000,1.5,Automatgear,150,Skoda
1330,"Hyundai i30 199.900 kr. Cw 1,0 T-GDI Premium 120HK Stc 6g",194900,2019,52000,1.0,Manuelt gear,120,Hyundai
1331,"Skoda Octavia 254.900 kr. Combi 1,5 TSI ACT Style Dynamic DSG 150HK Stc 7g A",254900,2020,62000,1.5,Automatgear,150,Skoda
1332,"Opel Crossland X 159.900 kr. 1,2 Elegance 83HK 5d",152500,2020,64000,1.2,Manuelt gear,83,Opel
1333,"Toyota Yaris 189.900 kr. 1,5 VVT-I T3 Smartpakke 111HK 5d 6g",164900,2019,11500,1.5,Manuelt gear,111,Toyota
1334,"Mercedes C180 1,8 Kompressor",109900,2008,183000,1.8,Automatgear,156,Mercedes
1335,Citroën C1 10 VTi Attaque 72HK 5d,99890,2020,16300,1.0,Manuelt gear,72,Citroën
1336,Renault Clio V,169800,2022,6000,1.0,Manuelt gear,90,Renault
1337,"Ford Kuga 1,5 EcoBoost Titanium Attack 150HK 5d 6g",134900,2015,184000,1.5,Manuelt gear,150,Ford
1338,"Opel Grandland X 1,2 Turbo Innovation Start/Stop 130HK 5d A",204900,2018,89000,1.2,Automatgear,130,Opel
1339,"Kia Picanto 1,0 MPI GT-Line 67HK 5d",119900,2020,61000,1.0,Manuelt gear,67,Kia
1340,"Skoda Karoq 329.900 kr. 1,5 TSI ACT Ambition DSG 150HK 5d 7g A",319900,2020,36000,1.5,Automatgear,150,Skoda
1341,Seat Ateca 15 TSI ACT Xcellence Start/Stop DSG 150HK 5d 7g A,299900,2019,63000,1.5,Automatgear,150,Seat
1342,Toyota Auris 12 T T2 Comfort 116HK 5d 6g,149900,2016,67516,1.2,Manuelt gear,116,Toyota
1343,"Mazda 2 1,5 Skyactiv-G Sky 90HK 5d 6g A",199900,2023,6800,1.5,Automatgear,90,Mazda
1344,"Mazda 2 1,5 Skyactiv-G Cosmo 90HK 5d 6g A",204900,2022,18800,1.5,Automatgear,90,Mazda
1345,"VW Passat 1,5 TSi 150 Elegance High Variant DSG",389900,2021,41000,1.5,Automatgear,150,VW
1346,"Mazda CX-3 2,0 SkyActiv-G 120 Optimum",165800,2016,82000,2.0,Manuelt gear,120,Mazda
1347,"Seat Ibiza 129.900 kr. 1,0 TSI Style 95HK 5d",129900,2019,84000,1.0,Manuelt gear,95,Seat
1348,"Skoda Fabia 179.900 kr. Combi 1,0 TSI Ambition 110HK Stc 6g",179900,2020,45000,1.0,Manuelt gear,110,Skoda
1349,"VW Polo 199.900 kr. 1,0 TSI Comfortline DSG 95HK 5d 7g A",199900,2019,32000,1.0,Automatgear,95,VW
1350,"Skoda Octavia 254.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",254900,2020,38000,1.5,Automatgear,150,Skoda
1351,"VW T-Cross - 264.900 kr. 1,0 TSI Life Team DSG 115HK 5d 7g A",259900,2020,26000,1.0,Automatgear,115,VW
1352,"Opel Crossland X 159.900 kr. 1,2 Elegance 83HK 5d",154900,2020,43000,1.2,Manuelt gear,83,Opel
1353,"VW Passat 339.900 kr. Variant 1,5 TSI EVO ACT Business Plus DSG 150HK Stc 7g A",329900,2020,55000,1.5,Automatgear,150,VW
1354,"VW up! 134.900 kr. 1,0 MPI Move 60HK 5d",134900,2020,13000,1.0,Manuelt gear,60,VW
1355,VW Golf VII,237500,2020,98000,1.5,Manuelt gear,150,VW
1356,"Kia ceed 199.900 kr. SW 1,0 T-GDI Active 100HK Stc 6g",194900,2020,34000,1.0,Manuelt gear,100,Kia
1357,"Audi A3 319.900 kr. 1,5 TFSI Sport Limited Edition Plus S Tronic 150HK 7g A",296500,2020,27000,1.5,Automatgear,150,Audi
1358,"Audi A3 Sportback 299.900 kr. 1,5 TFSI Sport Limited Edition Plus S Tronic 150HK 5d 7g A",294900,2020,41000,1.5,Automatgear,150,Audi
1359,"Skoda Octavia 249.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",239900,2020,55000,1.5,Automatgear,150,Skoda
1360,"Audi A3 Sportback 319.900 kr. 2,0 40 TFSI Sport Limited Edition Plus Quat S Tron 190HK 5d 7g A",309900,2020,80000,2.0,Automatgear,190,Audi
1361,"Kia ceed 194.900 kr. SW 1,0 T-GDI Active 100HK Stc 6g",189900,2020,67000,1.0,Manuelt gear,100,Kia
1362,"Kia ceed 199.900 kr. SW 1,0 T-GDI Vision 120HK Stc 6g",194900,2020,69000,1.0,Manuelt gear,120,Kia
1363,"Skoda Octavia 244.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",234900,2020,74000,1.5,Automatgear,150,Skoda
1364,"VW T-Cross - 259.900 kr. 1,0 TSI Life Team DSG 115HK 5d 7g A",254900,2020,32000,1.0,Automatgear,115,VW
1365,Renault Arkana 13 TCE Intens EDC 140HK 5d 7g A,317900,2022,13000,1.3,Automatgear,140,Renault
1366,Citroën C1 10 VTi Limited 72HK 5d,94900,2020,16000,1.0,Manuelt gear,72,Citroën
1367,"Audi A3 319.900 kr. 1,5 TFSI Sport Limited Edition Plus S Tronic 150HK 7g A",299900,2020,35000,1.5,Automatgear,150,Audi
1368,VW Golf VII,244900,2020,40000,1.5,Manuelt gear,150,VW
1369,"VW Passat 329.900 kr. Variant 1,5 TSI EVO ACT Business Plus DSG 150HK Stc 7g A",319900,2020,71000,1.5,Automatgear,150,VW
1370,"Skoda Octavia 269.900 kr. Combi 1,5 TSI ACT Celebration Plus DSG 150HK Stc 7g A",264900,2020,51000,1.5,Automatgear,150,Skoda
1371,"VW Polo 1,0 TSi 95 Style DSG",249900,2022,12000,1.0,Automatgear,95,VW
1372,"VW Polo 1,0 TSi 95 Comfortline Connec",199900,2021,19000,1.0,Manuelt gear,95,VW
1373,"Seat Ibiza 169.900 kr. 1,0 TSI FR 115HK 5d",169900,2018,99000,1.0,Manuelt gear,115,Seat
1374,"VW T-Roc 309.900 kr. 1,5 TSI ACT Style Team DSG 150HK 5d 7g A",309900,2020,23000,1.5,Automatgear,150,VW
1375,Renault Kadjar 12 Energy TCe Zen 130HK 5d 6g,159900,2017,93000,1.2,Manuelt gear,130,Renault
1376,"Seat Leon 1,5 TSI Black Line DSG 150HK 5d 7g A",239500,2019,64000,1.5,Automatgear,150,Seat
1377,"VW T-Roc 1,5 TSi 150 Sport DSG",314900,2020,44978,1.5,Automatgear,150,VW
1378,"VW T-Roc 1,5 TSi 150 Sport DSG",299900,2019,49000,1.5,Automatgear,150,VW
1379,"Kia Rio 69.900 kr. 1,2 CVVT Attraction Plus 85HK 5d",69900,2016,184000,1.2,Manuelt gear,85,Kia
1380,"Opel Karl 54.900 kr. 1,0 Enjoy 75HK 5d",54900,2015,165000,1.0,Manuelt gear,75,Opel
1381,"Skoda Fabia 164.900 kr. 1,0 TSI Ambition DSG 110HK 5d 7g A",164900,2019,85000,1.0,Automatgear,110,Skoda
1382,"VW Polo 219.900 kr. 1,0 TSI Highline DSG 115HK 5d 7g A",219900,2019,57000,1.0,Automatgear,115,VW
1383,"Toyota Aygo 1,0 VVT-I X-pression 69HK 5d A++",84900,2017,87015,1.0,Manuelt gear,69,Toyota
1384,VW Golf VII,279900,2019,68000,1.5,Automatgear,150,VW
1385,Peugeot 208 12 PureTech Allure+ 100HK 5d 6g,172990,2020,42000,1.2,Manuelt gear,100,Peugeot
1386,"Toyota Aygo 1,0 VVT-I X-Play + Touch X-Shift 69HK 5d Aut. A+",99900,2016,40000,1.0,Automatgear,69,Toyota
1387,"VW Passat Variant 1,5 TSI EVO ACT Business Plus Pro DSG 150HK Stc 7g A",344500,2020,46400,1.5,Automatgear,150,VW
1388,Peugeot 2008 12 e-THP Allure Sky 110HK,149900,2017,68000,1.2,Manuelt gear,110,Peugeot
1389,Skoda Superb Combi 18 TSI Style DSG 180HK Stc 7g A,269900,2016,60500,1.8,Automatgear,180,Skoda
1390,"Fiat 500 0,9 TwinAir 80 Black Edition",116800,2018,38000,0.9,Manuelt gear,80,Fiat
1391,"Kia ceed 129.900 kr. SW 1,0 T-GDI GT-Line 120HK Stc 6g",129900,2016,148000,1.0,Manuelt gear,120,Kia
1392,"Citroën C5 Aircross 1,2 PureTech Cool start/stop 130HK 5d 6g",249900,2020,67000,1.2,Manuelt gear,130,Citroën
1393,"Opel Crossland X 1,2 T Edition Start/Stop 130HK 5d 6g",199900,2020,30000,1.2,Manuelt gear,130,Opel
1394,"Opel Crossland X 1,2 T Edition Start/Stop 130HK 5d 6g",194900,2020,42000,1.2,Manuelt gear,130,Opel
1395,Mazda 3 20 Skyactiv-G Optimum 120HK 5d 6g A,199900,2018,41500,2.0,Automatgear,120,Mazda
1396,Skoda Fabia 10 TSI Ambition DSG 95HK 5d 7g A,189900,2021,32500,1.0,Automatgear,95,Skoda
1397,"Toyota Yaris 1,5 VVT-I Active Technology 125HK 5d 6g A+",209900,2022,11850,1.5,Manuelt gear,125,Toyota
1398,"VW Touran 299.900 kr. 1,5 TSI EVO ACT Comfortline DSG 150HK 7g A",299900,2018,87000,1.5,Automatgear,150,VW
1399,VW Golf VII,179900,2016,52102,1.0,Automatgear,115,VW
1400,Kia Stonic 10 T-GDI Advance Intro Edition 120HK 5d 6g,149900,2018,88000,1.0,Manuelt gear,120,Kia
1401,"Toyota Aygo 1,0 VVT-I X-plore DAB+ 72HK 5d A+++",104900,2019,30234,1.0,Manuelt gear,72,Toyota
1402,"Skoda Octavia 259.900 kr. Combi 1,5 TSI ACT Style Dynamic DSG 150HK Stc 7g A",254900,2020,56000,1.5,Automatgear,150,Skoda
1403,"VW Polo Polo174.900 kr. 1.730 kr./md. 1,0 TSI Comfortline 95HK 5d",174900,2019,47000,1.0,Manuelt gear,95,VW
1404,"Opel Crossland X 149.900 kr. 1,2 Edition+ 83HK 5d",152900,2020,39000,1.2,Manuelt gear,83,Opel
1405,"Audi Q3 389.900 kr. 1,5 35 TFSI Mild hybrid Prestige S Tronic 150HK 5d 7g A",354900,2020,71000,1.5,Automatgear,150,Audi
1406,"VW T-Roc 309.900 kr. 1,5 TSI ACT Sport Plus DSG 150HK 5d 7g A",299900,2020,40000,1.5,Automatgear,150,VW
1407,"Skoda Octavia 264.900 kr. Combi 1,5 TSI ACT Style Dynamic DSG 150HK Stc 7g A",254900,2020,39000,1.5,Automatgear,150,Skoda
1408,"Kia Stonic 129.900 kr. 1,0 T-GDI Advance Intro Edition 120HK 5d 6g",129900,2018,140000,1.0,Manuelt gear,120,Kia
1409,"Kia ceed 194.900 kr. SW 1,0 T-GDI Active 100HK Stc 6g",186900,2020,70000,1.0,Manuelt gear,100,Kia
1410,"Audi Q2 319.900 kr. 1,5 TFSI Sport Prestige Plus S Tronic 150HK 5d 7g A",294900,2020,46000,1.5,Automatgear,150,Audi
1411,"Seat Leon 259.900 kr. Sportstourer 1,5 TSI Xcellence DSG 150HK Stc 7g A",254900,2020,69000,1.5,Automatgear,150,Seat
1412,"VW T-Roc 309.900 kr. 1,5 TSI ACT Sport Team DSG 150HK 5d 7g A",304900,2020,58000,1.5,Automatgear,150,VW
1413,"Kia ceed 199.900 kr. SW 1,0 T-GDI Active 100HK Stc 6g",194900,2020,29000,1.0,Manuelt gear,100,Kia
1414,"Skoda Octavia 239.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",234900,2020,85000,1.5,Automatgear,150,Skoda
1415,"VW T-Roc 239.900 kr. 1,0 TSI Style Plus 115HK 5d 6g",229900,2020,67000,1.0,Manuelt gear,115,VW
1416,VW Golf VII,269900,2020,28000,1.5,Automatgear,150,VW
1417,"Audi Q2 299.900 kr. 1,5 TFSI Sport Prestige Plus S Tronic 150HK 5d 7g A",294900,2020,46000,1.5,Automatgear,150,Audi
1418,VW Golf VII,244900,2020,55000,1.5,Manuelt gear,150,VW
1419,"VW Passat 289.900 kr. Variant 1,5 TSI EVO ACT Comfortline DSG 150HK Stc 7g A",284900,2019,64000,1.5,Automatgear,150,VW
1420,VW Golf VII,269900,2020,76000,1.5,Automatgear,150,VW
1421,"Audi A3 Sportback 299.900 kr. 1,5 TFSI Sport Limited Edition Plus S Tronic 150HK 5d 7g A",289900,2020,60000,1.5,Automatgear,150,Audi
1422,"VW T-Roc 299.900 kr. 1,5 TSI ACT Style Plus DSG 150HK 5d 7g A",294900,2020,60000,1.5,Automatgear,150,VW
1423,"Cupra Formentor 349.900 kr. 1,5 TSI DSG 150HK 5d 7g A",334900,2022,46000,1.5,Automatgear,150,Cupra
1424,"VW T-Roc 304.900 kr. 1,5 TSI ACT Style Team DSG 150HK 5d 7g A",299900,2020,46000,1.5,Automatgear,150,VW
